"borough","zone","total_trips","avg_distance","avg_fare","total_revenue"
"Brooklyn","Sheepshead Bay",5186,8.43,35.46,194602.57
"Queens","Woodhaven",5158,6.91,32.38,191426.33
"Queens","Briarwood/Jamaica Hills",5135,7.68,38.14,227411.79
"Queens","Queens Village",5133,10.36,38.26,220218.21
"Bronx","Mount Hope",5109,7.19,31.43,176917.57
"Bronx","Highbridge",4990,7.25,33.39,185531.52
"Queens","Rego Park",4941,6.55,34.50,199460.12
"Bronx","Bedford Park",4746,8.92,35.67,185283.25
"Bronx","Van Cortlandt Village",4506,8.66,35.07,174366.44
"Queens","Springfield Gardens South",4490,11.47,54.58,286331.40
"Brooklyn","Kensington",4488,6.75,33.65,175282.20
"Bronx","Spuyten Duyvil/Kingsbridge",4278,8.16,34.22,166651.97
"Queens","Elmhurst/Maspeth",4251,4.98,32.53,163885.46
"Bronx","Norwood",4250,9.53,36.45,171288.23
"Queens","Kew Gardens",4244,6.56,41.78,204664.37
"Bronx","Claremont/Bathgate",4229,7.73,32.58,151316.67
"Brooklyn","Homecrest",4142,6.52,29.80,131802.82
"Bronx","Van Nest/Morris Park",4091,8.25,33.26,152103.57
"Bronx","West Farms/Bronx River",3996,7.70,33.18,148816.26
"Brooklyn","Bensonhurst West",3901,7.39,31.94,132992.23
"Bronx","Soundview/Bruckner",3901,7.37,31.64,138932.58
"Manhattan","Battery Park",3882,4.42,26.48,138706.18
"Bronx","Woodlawn/Wakefield",3869,10.99,39.91,169242.00
"Bronx","Westchester Village/Unionport",3843,7.99,32.52,140505.94
"Brooklyn","Sunset Park East",3755,6.61,31.27,129846.23
"Queens","Hillcrest/Pomonok",3751,8.25,33.51,143359.61
"Bronx","Eastchester",3700,10.25,37.40,151067.85
"Bronx","Hunts Point",3672,6.89,31.71,130951.62
"Brooklyn","South Williamsburg",3617,4.96,28.99,118535.00
"N/A","Outside of NYC",3494,7.52,77.19,316246.07
"Bronx","Kingsbridge Heights",3407,8.22,33.86,125628.41
"Brooklyn","Brighton Beach",3345,9.45,37.50,133131.92
"Brooklyn","Brooklyn Navy Yard",3344,5.52,37.18,146081.07
"Bronx","Crotona Park East",3311,7.98,32.59,119933.95
"Queens","Jamaica Estates",3291,8.73,35.98,134894.14
"Queens","Flushing Meadows-Corona Park",3244,8.60,59.27,234940.85
"Bronx","Schuylerville/Edgewater Park",3206,8.86,35.81,129683.89
"Bronx","Bronxdale",3183,9.63,36.45,126744.68
"Bronx","Pelham Parkway",3156,9.02,35.30,123179.44
"Brooklyn","Bensonhurst East",3099,7.60,32.53,107550.66
"Queens","Middle Village",3079,5.97,33.55,121223.50
"Queens","Glendale",3043,5.39,29.54,102302.78
"Manhattan","Roosevelt Island",3019,6.33,33.30,116276.30
"Queens","Howard Beach",2987,7.72,37.85,128284.16
"Brooklyn","Madison",2975,6.53,29.53,94507.07
"Bronx","Longwood",2902,7.27,32.17,104413.28
"Brooklyn","Windsor Terrace",2892,7.09,35.34,121997.94
"Queens","North Corona",2890,5.49,27.11,91178.81
"Brooklyn","Gravesend",2786,8.91,36.26,106504.76
"Queens","Laurelton",2760,11.56,41.17,125330.64
"Queens","Kew Gardens Hills",2688,7.77,32.84,101999.66
"Bronx","Riverdale/North Riverdale/Fieldston",2517,9.67,39.09,113275.23
"Queens","Rosedale",2401,12.29,43.97,118899.77
"Queens","Ozone Park",2401,6.41,33.88,93153.75
"Bronx","Belmont",2398,8.23,34.33,91569.86
"Queens","Hollis",2327,9.44,36.72,95714.31
"Bronx","Fordham South",2229,8.34,34.00,82758.59
"Bronx","Allerton/Pelham Gardens",2162,9.54,36.05,85571.92
"Brooklyn","Dyker Heights",2058,7.08,32.88,75108.85
"Queens","Cambria Heights",2048,12.26,44.44,101437.51
"Queens","Bellerose",1859,10.31,39.31,83544.89
"Brooklyn","Columbia Street",1832,5.71,32.94,74229.03
"Brooklyn","Manhattan Beach",1747,8.56,35.37,65470.74
"Queens","College Point",1639,7.61,33.28,65109.49
"Queens","Bayside",1576,9.09,34.98,64329.27
"Brooklyn","Prospect Park",1547,5.33,31.63,57375.72
"Queens","Murray Hill-Queens",1544,7.88,31.78,56904.85
"Brooklyn","Bath Beach",1529,8.60,35.12,57357.48
"Bronx","Pelham Bay",1489,9.74,36.34,60355.04
"Queens","Rockaway Park",1435,12.60,46.18,70601.76
"Brooklyn","Ocean Parkway South",1430,6.03,31.57,48768.02
"Queens","Queensboro Hill",1427,7.42,31.88,52079.71
"Queens","Whitestone",1402,8.13,34.63,56644.27
"Queens","Glen Oaks",1317,11.29,39.41,59922.01
"Queens","Fresh Meadows",1225,8.36,34.10,47439.59
"Manhattan","Marble Hill",1108,7.48,31.89,38527.46
"Queens","Oakland Gardens",985,9.44,35.91,40682.31
"Manhattan","Inwood Hill Park",877,8.73,36.50,36766.57
"Manhattan","Randalls Island",849,6.39,47.87,52259.05
"Queens","Bay Terrace/Fort Totten",803,9.03,35.19,33677.88
"Queens","Auburndale",792,7.96,32.14,29559.37
"Queens","Douglaston",781,9.10,35.00,32190.51
"Queens","East Flushing",736,7.57,31.83,26889.58
